"filename", "language", "JSON", "Markdown", "JavaScript", "JavaScript JSX", "PostCSS", "XML", "MS SQL", "HTML", "comment", "blank", "total"
"c:\Users\bm123\Documents\VSCode\AceIt\.claude\settings.local.json", "JSON", 9, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\bm123\Documents\VSCode\AceIt\AI_INTEGRATION_IMPLEMENTATION.md", "Markdown", 0, 828, 0, 0, 0, 0, 0, 0, 0, 165, 993
"c:\Users\bm123\Documents\VSCode\AceIt\AI_INTEGRATION_PLAN.md", "Markdown", 0, 1625, 0, 0, 0, 0, 0, 0, 0, 336, 1961
"c:\Users\bm123\Documents\VSCode\AceIt\README.md", "Markdown", 0, 30, 0, 0, 0, 0, 0, 0, 0, 8, 38
"c:\Users\bm123\Documents\VSCode\AceIt\STUDY_PLAN_IMPLEMENTATION_PLAN.md", "Markdown", 0, 829, 0, 0, 0, 0, 0, 0, 0, 201, 1030
"c:\Users\bm123\Documents\VSCode\AceIt\backend\package-lock.json", "JSON", 3232, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3233
"c:\Users\bm123\Documents\VSCode\AceIt\backend\package.json", "JSON", 37, 0, 0, 0, 0, 0, 0, 0, 0, 1, 38
"c:\Users\bm123\Documents\VSCode\AceIt\backend\prisma\migrations\20250930092626_init\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 230, 0, 60, 76, 366
"c:\Users\bm123\Documents\VSCode\AceIt\backend\prisma\migrations\20250930114320_update_exam_types\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 9, 0, 7, 1, 17
"c:\Users\bm123\Documents\VSCode\AceIt\backend\prisma\migrations\20251002205241_update_exam_types\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 5, 0, 6, 3, 14
"c:\Users\bm123\Documents\VSCode\AceIt\backend\prisma\migrations\20251003124721_ayt_subject_types\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 9, 0, 7, 1, 17
"c:\Users\bm123\Documents\VSCode\AceIt\backend\prisma\migrations\20251020142029_add_recommendation_system\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 93, 0, 76, 55, 224
"c:\Users\bm123\Documents\VSCode\AceIt\backend\prisma\migrations\20251020142114_add_recommendation_system\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 190, 0, 80, 71, 341
"c:\Users\bm123\Documents\VSCode\AceIt\backend\prisma\migrations\20251020142401_add_recommendation_system\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 50, 0, 25, 21, 96
